subject,time,system,task,accurate,damage,enrolled,semesters,list
PAE,194.871,Z,3_inanna,0,3,0,4.0,P2
PAE,828.416,Z,3_sir3,1,3,0,4.0,P2
PAE,185.417,Z,4_tu7,1,4,0,4.0,P2
CX1,107.02,H,1_2,1,1,0,2.0,E3
CX1,65.866,H,0_gu4,1,0,0,2.0,E3
CX1,261.817,H,0_bal,1,0,0,2.0,E3
CX1,344.409,H,1_iku,1,1,0,2.0,E3
CX1,46.148,H,0_elam,1,0,0,2.0,E3
CX1,227.28,H,3_sag,1,3,0,2.0,E3
CX1,163.805,H,0_zu9,1,0,0,2.0,E3
CX1,136.928,H,2_e2,1,2,0,2.0,E3
CX1,132.55,H,0_sa,1,0,0,2.0,E3
CX1,50.814,H,0_ezen4,1,0,0,2.0,E3
CX1,217.854,H,3_zag,1,3,0,2.0,E3
CX1,334.732,H,0_hur,0,0,0,2.0,E3
CX1,31.635,H,2_mec,1,2,0,2.0,E3
CX1,95.26,H,2_lal3,0,2,0,2.0,E3
CX1,51.084,H,4_dub,1,4,0,2.0,E3
CX1,186.633,H,2_dug,1,2,0,2.0,E3
CX1,350.399,Z,3_sa5,0,3,0,2.0,E1
CX1,241.239,Z,3_mac2,1,3,0,2.0,E1
CX1,305.042,Z,0_sig2+munus,1,0,0,2.0,E1
CX1,141.964,Z,0_kac4,1,0,0,2.0,E1
CX1,186.785,Z,1_gag,0,1,0,2.0,E1
